food_name,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,vitamin_c,category,source,protein_ratio,carb_ratio,fat_ratio,protein_fat_ratio,calorie_class,category_encoded
gulab jamun,350.0,5.0,55.0,15.0,2.0,35.0,120.0,60.0,12.0,5.0,Dessert,sheet1,0.0667,0.7333,0.2,0.3311,2.0,0
kheer,220.0,6.0,30.0,12.0,1.0,20.0,180.0,120.0,8.0,2.0,Dessert,sheet1,0.125,0.625,0.25,0.4959,2.0,0
pakora,240.0,8.0,22.0,18.0,4.0,2.0,550.0,35.0,18.0,20.0,Snacks,sheet1,0.1667,0.4583,0.375,0.442,2.0,2
samosa,260.0,6.0,28.0,16.0,3.0,3.0,600.0,30.0,15.0,15.0,Snacks,sheet1,0.12,0.56,0.32,0.3727,2.0,2
vada,220.0,8.0,20.0,15.0,3.0,2.0,450.0,25.0,12.0,3.0,Snacks,sheet1,0.186,0.4651,0.3488,0.5298,2.0,2
thalipeeth,260.0,12.0,30.0,14.0,8.0,3.0,420.0,45.0,10.0,5.0,Veg,sheet1,0.2143,0.5357,0.25,0.8511,2.0,3
sabudana khichdi,180.0,4.0,32.0,6.0,2.0,4.0,240.0,15.0,4.0,3.0,Veg,sheet1,0.0952,0.7619,0.1429,0.6557,1.0,3
ragda patties,200.0,8.0,26.0,10.0,6.0,6.0,580.0,40.0,12.0,25.0,Snacks,sheet1,0.1818,0.5909,0.2273,0.7921,1.0,2
sev puri,220.0,6.0,24.0,14.0,3.0,8.0,520.0,30.0,10.0,18.0,Snacks,sheet1,0.1364,0.5455,0.3182,0.4255,2.0,2
bhel puri,160.0,4.0,28.0,6.0,4.0,12.0,480.0,25.0,8.0,20.0,Snacks,sheet1,0.1053,0.7368,0.1579,0.6557,1.0,2
vada pav,280.0,10.0,26.0,18.0,4.0,4.0,650.0,35.0,15.0,15.0,Snacks,sheet1,0.1852,0.4815,0.3333,0.5525,2.0,2
misal pav,200.0,12.0,24.0,8.0,8.0,6.0,720.0,60.0,18.0,35.0,Veg,sheet1,0.2727,0.5455,0.1818,1.4815,1.0,3
pav bhaji,240.0,8.0,32.0,12.0,6.0,8.0,680.0,40.0,12.0,45.0,Veg,sheet1,0.1538,0.6154,0.2308,0.6612,2.0,3
basundi,260.0,10.0,28.0,14.0,0.0,25.0,140.0,180.0,6.0,1.0,Dessert,sheet1,0.1923,0.5385,0.2692,0.7092,2.0,0
shrikhand,240.0,8.0,32.0,12.0,0.0,28.0,120.0,150.0,4.0,2.0,Dessert,sheet1,0.1538,0.6154,0.2308,0.6612,2.0,0
kadhi,120.0,6.0,14.0,6.0,2.0,4.0,280.0,80.0,3.0,5.0,Veg,sheet1,0.2308,0.5385,0.2308,0.9836,1.0,3
undhiyu,160.0,5.0,20.0,8.0,6.0,8.0,320.0,35.0,15.0,25.0,Veg,sheet1,0.1515,0.6061,0.2424,0.6173,1.0,3
muthia,180.0,8.0,20.0,12.0,8.0,4.0,380.0,30.0,10.0,12.0,Snacks,sheet1,0.2,0.5,0.3,0.6612,1.0,2
handvo,220.0,12.0,28.0,10.0,5.0,5.0,420.0,40.0,12.0,8.0,Snacks,sheet1,0.24,0.56,0.2,1.1881,2.0,2
khakhra,320.0,14.0,48.0,12.0,8.0,2.0,450.0,35.0,6.0,2.0,Veg,sheet1,0.1892,0.6486,0.1622,1.157,2.0,3
thepla,280.0,12.0,32.0,16.0,6.0,4.0,520.0,45.0,8.0,3.0,Veg,sheet1,0.2,0.5333,0.2667,0.7453,2.0,3
egg curry,170.0,14.0,4.0,12.0,1.0,1.0,520.0,65.0,18.0,8.0,Non-Veg,sheet1,0.4667,0.1333,0.4,1.157,1.0,1
kozhi curry,250.0,28.0,3.0,14.0,0.0,1.0,590.0,42.0,20.0,15.0,Non-Veg,sheet1,0.6222,0.0667,0.3111,1.9858,2.0,1
meen pollichathu,210.0,25.0,4.0,11.0,1.0,1.0,620.0,48.0,22.0,18.0,Non-Veg,sheet1,0.625,0.1,0.275,2.2523,2.0,1
meen curry,190.0,23.0,5.0,9.0,1.0,1.0,680.0,55.0,28.0,20.0,Non-Veg,sheet1,0.6216,0.1351,0.2432,2.5275,1.0,1
kappa,160.0,2.0,36.0,4.0,4.0,2.0,240.0,30.0,8.0,25.0,Veg,sheet1,0.0476,0.8571,0.0952,0.4878,1.0,3
puttu,200.0,6.0,30.0,8.0,4.0,2.0,320.0,25.0,8.0,2.0,Veg,sheet1,0.1364,0.6818,0.1818,0.7407,1.0,3
appam,180.0,4.0,32.0,6.0,3.0,4.0,280.0,20.0,6.0,1.0,Veg,sheet1,0.0952,0.7619,0.1429,0.6557,1.0,3
chirote,340.0,6.0,42.0,20.0,2.0,28.0,200.0,30.0,12.0,1.0,Dessert,sheet1,0.0882,0.6176,0.2941,0.2985,2.0,0
karanji,320.0,8.0,40.0,18.0,4.0,25.0,180.0,40.0,10.0,8.0,Dessert,sheet1,0.1212,0.6061,0.2727,0.442,2.0,0
modak,280.0,6.0,38.0,14.0,3.0,22.0,160.0,35.0,8.0,5.0,Dessert,sheet1,0.1034,0.6552,0.2414,0.4255,2.0,0
puran poli,300.0,8.0,48.0,12.0,6.0,18.0,280.0,25.0,8.0,2.0,Veg,sheet1,0.1176,0.7059,0.1765,0.6612,2.0,3
amti,110.0,7.0,17.0,3.0,6.0,2.0,320.0,30.0,3.0,3.0,Veg,sheet1,0.2593,0.6296,0.1111,2.2581,1.0,3
sol kadhi,60.0,2.0,8.0,4.0,2.0,6.0,180.0,40.0,2.0,15.0,Veg,sheet1,0.1429,0.5714,0.2857,0.4878,0.0,3
malvani fish,200.0,24.0,6.0,10.0,1.0,1.0,640.0,50.0,25.0,18.0,Non-Veg,sheet1,0.6,0.15,0.25,2.3762,1.0,1
kombdi vade,280.0,22.0,24.0,16.0,3.0,1.0,580.0,45.0,20.0,12.0,Non-Veg,sheet1,0.3548,0.3871,0.2581,1.3665,2.0,1
kolambi bhaat,220.0,18.0,28.0,8.0,2.0,2.0,520.0,35.0,15.0,8.0,Non-Veg,sheet1,0.3333,0.5185,0.1481,2.2222,2.0,1
keema,240.0,20.0,8.0,16.0,3.0,4.0,680.0,40.0,15.0,6.0,Veg,sheet1,0.4545,0.1818,0.3636,1.2422,2.0,3
lucknowi biryani,320.0,26.0,37.0,17.0,3.0,6.0,820.0,52.0,19.0,10.0,Non-Veg,sheet1,0.325,0.4625,0.2125,1.5205,2.0,1
kolkata biryani,310.0,24.0,38.0,16.0,4.0,8.0,780.0,45.0,18.0,12.0,Non-Veg,sheet1,0.3077,0.4872,0.2051,1.4907,2.0,1
hyderabadi biryani,340.0,27.0,36.0,19.0,2.0,5.0,880.0,58.0,22.0,9.0,Non-Veg,sheet1,0.3293,0.439,0.2317,1.4136,2.0,1
mutton biryani,330.0,25.0,35.0,20.0,3.0,6.0,850.0,55.0,20.0,8.0,Non-Veg,sheet1,0.3125,0.4375,0.25,1.2438,2.0,1
mutton curry,270.0,26.0,4.0,18.0,1.0,2.0,720.0,35.0,22.0,12.0,Non-Veg,sheet1,0.5417,0.0833,0.375,1.4365,2.0,1
puli inji,90.0,1.0,12.0,5.0,3.0,15.0,1400.0,18.0,5.0,20.0,Snacks,sheet1,0.0556,0.6667,0.2778,0.1961,0.0,2
lemon pickle,100.0,1.0,14.0,6.0,3.0,10.0,1600.0,12.0,6.0,35.0,Snacks,sheet1,0.0476,0.6667,0.2857,0.1639,0.0,2
mango pickle,120.0,1.0,12.0,8.0,4.0,8.0,1800.0,15.0,8.0,25.0,Snacks,sheet1,0.0476,0.5714,0.381,0.1235,1.0,2
inji curry,80.0,1.0,10.0,4.0,2.0,8.0,420.0,25.0,4.0,8.0,Veg,sheet1,0.0667,0.6667,0.2667,0.2439,0.0,3
kootu curry,180.0,8.0,16.0,12.0,9.0,4.0,440.0,60.0,25.0,40.0,Veg,sheet1,0.2222,0.4444,0.3333,0.6612,1.0,3
erissery,150.0,5.0,14.0,10.0,7.0,3.0,360.0,50.0,18.0,30.0,Veg,sheet1,0.1724,0.4828,0.3448,0.495,1.0,3
olan,100.0,2.0,12.0,6.0,4.0,5.0,280.0,35.0,6.0,15.0,Veg,sheet1,0.1,0.6,0.3,0.3279,0.0,3
thoran,160.0,6.0,14.0,12.0,8.0,4.0,420.0,40.0,15.0,25.0,Veg,sheet1,0.1875,0.4375,0.375,0.4959,1.0,3
kaalan,120.0,3.0,14.0,8.0,5.0,6.0,340.0,55.0,8.0,20.0,Veg,sheet1,0.12,0.56,0.32,0.3704,1.0,3
avial,140.0,4.0,12.0,10.0,6.0,4.0,380.0,45.0,12.0,35.0,Veg,sheet1,0.1538,0.4615,0.3846,0.396,1.0,3
chicken manchurian,280.0,25.0,14.0,18.0,3.0,10.0,820.0,42.0,22.0,35.0,Non-Veg,sheet1,0.4386,0.2456,0.3158,1.3812,2.0,1
chili chicken,270.0,26.0,12.0,16.0,2.0,8.0,780.0,48.0,20.0,45.0,Non-Veg,sheet1,0.4815,0.2222,0.2963,1.6149,2.0,1
chicken 65,300.0,28.0,9.0,20.0,1.0,4.0,920.0,38.0,24.0,12.0,Non-Veg,sheet1,0.4912,0.1579,0.3509,1.393,2.0,1
andhra chicken,290.0,30.0,8.0,19.0,2.0,3.0,1050.0,42.0,25.0,15.0,Non-Veg,sheet1,0.5263,0.1404,0.3333,1.5707,2.0,1
chicken chettinad,280.0,31.0,7.0,18.0,3.0,2.0,980.0,45.0,28.0,18.0,Non-Veg,sheet1,0.5536,0.125,0.3214,1.7127,2.0,1
palak chicken,260.0,29.0,8.0,16.0,4.0,3.0,640.0,55.0,22.0,35.0,Non-Veg,sheet1,0.5472,0.1509,0.3019,1.8012,2.0,1
matar paneer,240.0,15.0,14.0,18.0,5.0,6.0,580.0,165.0,16.0,20.0,Veg,sheet1,0.3191,0.2979,0.383,0.8287,2.0,3
kadai paneer,260.0,16.0,10.0,20.0,4.0,5.0,620.0,180.0,20.0,25.0,Veg,sheet1,0.3478,0.2174,0.4348,0.796,2.0,3
shahi paneer,280.0,14.0,12.0,22.0,3.0,6.0,560.0,220.0,18.0,18.0,Veg,sheet1,0.2917,0.25,0.4583,0.6335,2.0,3
malai kofta,240.0,8.0,20.0,18.0,4.0,8.0,520.0,55.0,12.0,15.0,Veg,sheet1,0.1739,0.4348,0.3913,0.442,2.0,3
navratan korma,200.0,6.0,18.0,16.0,5.0,12.0,480.0,65.0,15.0,20.0,Veg,sheet1,0.15,0.45,0.4,0.3727,1.0,3
chicken korma,290.0,28.0,6.0,22.0,2.0,3.0,820.0,48.0,25.0,12.0,Non-Veg,sheet1,0.5,0.1071,0.3929,1.267,2.0,1
reshmi kebab,270.0,26.0,2.0,20.0,0.0,1.0,680.0,42.0,22.0,3.0,Non-Veg,sheet1,0.5417,0.0417,0.4167,1.2935,2.0,1
galouti kebab,280.0,23.0,4.0,22.0,1.0,2.0,780.0,35.0,20.0,5.0,Non-Veg,sheet1,0.4694,0.0816,0.449,1.0407,2.0,1
shami kebab,250.0,22.0,6.0,16.0,2.0,3.0,720.0,45.0,16.0,10.0,Non-Veg,sheet1,0.5,0.1364,0.3636,1.3665,2.0,1
seekh kebab,260.0,24.0,3.0,18.0,1.0,2.0,750.0,38.0,18.0,8.0,Non-Veg,sheet1,0.5333,0.0667,0.4,1.326,2.0,1
egg fried rice,250.0,14.0,32.0,12.0,3.0,5.0,600.0,38.0,16.0,8.0,Non-Veg,sheet1,0.2414,0.5517,0.2069,1.157,2.0,1
chicken fried rice,280.0,18.0,30.0,14.0,2.0,4.0,650.0,35.0,18.0,15.0,Non-Veg,sheet1,0.2903,0.4839,0.2258,1.2766,2.0,1
schezwan rice,260.0,9.0,30.0,16.0,3.0,8.0,780.0,32.0,16.0,25.0,Veg,sheet1,0.1636,0.5455,0.2909,0.559,2.0,3
fried rice,240.0,10.0,32.0,12.0,3.0,4.0,580.0,28.0,14.0,12.0,Veg,sheet1,0.1852,0.5926,0.2222,0.8264,2.0,3
chowmein,220.0,8.0,28.0,14.0,4.0,6.0,620.0,30.0,12.0,18.0,Veg,sheet1,0.16,0.56,0.28,0.5674,2.0,3
thukpa,120.0,8.0,16.0,4.0,2.0,2.0,480.0,25.0,8.0,12.0,Snacks,sheet1,0.2857,0.5714,0.1429,1.9512,1.0,2
momos,180.0,12.0,20.0,8.0,2.0,3.0,520.0,35.0,15.0,8.0,Snacks,sheet1,0.3,0.5,0.2,1.4815,1.0,2
spring roll,200.0,8.0,24.0,12.0,3.0,6.0,580.0,25.0,12.0,15.0,Snacks,sheet1,0.1818,0.5455,0.2727,0.6612,1.0,2
paneer manchurian,260.0,16.0,16.0,20.0,4.0,10.0,720.0,165.0,18.0,25.0,Veg,sheet1,0.3077,0.3077,0.3846,0.796,2.0,3
gobi manchurian,220.0,6.0,20.0,16.0,5.0,12.0,680.0,35.0,15.0,40.0,Veg,sheet1,0.1429,0.4762,0.381,0.3727,2.0,3
garlic soup,194.86,2.38,6.99,17.62,1.66,2.39,179.26,60.55,0.73,11.12,Non-Veg,processed,0.0882,0.259,0.6528,0.1343,1.0,1
lemon coriander soup,108.06,2.27,10.32,6.26,6.77,2.2,219.17,102.57,3.47,8.6,Veg,processed,0.1204,0.5475,0.3321,0.3569,1.0,3
millet soup,55.99,11.26,8.22,12.57,2.82,1.45,10918.83,65.21,2.74,4.23,Veg,processed,0.3513,0.2565,0.3922,0.8887,0.0,3
curried cauliflower soup,37.32,6.72,3.12,9.77,2.34,1.79,7311.44,37.25,2.12,51.86,Snacks,processed,0.3427,0.1591,0.4982,0.6809,0.0,2
paneer soup,47.85,3.22,2.42,2.8,0.28,1.98,68.03,82.76,0.3,7.59,Snacks,processed,0.3815,0.2867,0.3318,1.1103,0.0,2
sweet corn soup,32.25,0.99,3.56,1.63,0.31,0.9,22.35,3.72,0.41,10.33,Snacks,processed,0.1602,0.5761,0.2638,0.5723,0.0,2
pumpkin soup,40.05,0.47,2.08,3.2,1.19,1.47,45.5,12.17,0.19,11.5,Snacks,processed,0.0817,0.3617,0.5565,0.1424,0.0,2
baked potato soup,147.05,5.73,5.85,11.21,0.3,3.44,268.69,106.56,0.27,18.93,Veg,processed,0.2514,0.2567,0.4919,0.5066,1.0,3
bottle gourd soup (ghiya/lauki soup),23.05,0.45,1.16,1.79,0.96,0.39,53.81,15.14,0.26,6.0,Snacks,processed,0.1324,0.3412,0.5265,0.2381,0.0,2
whey soup,68.91,3.45,6.26,3.34,0.84,5.87,87.08,164.92,0.55,2.55,Veg,processed,0.2644,0.4797,0.2559,1.0029,0.0,3
ham and bean soup,96.04,10.61,4.18,4.15,0.54,1.43,378.14,20.52,0.88,22.31,Veg,processed,0.5602,0.2207,0.2191,2.4965,0.0,3
tutti frutti cake,347.72,4.49,52.94,12.68,0.85,28.08,106.36,61.41,0.62,1.9,Dessert,processed,0.064,0.7551,0.1809,0.3513,2.0,0
almond cardamom cake (badam elaichi cake),356.35,7.18,34.53,21.36,2.35,18.06,155.37,81.29,1.29,0.37,Dessert,processed,0.1138,0.5475,0.3387,0.3346,3.0,0
honey cake,333.59,3.08,49.04,14.7,0.51,33.43,72.55,50.86,0.46,0.53,Dessert,processed,0.0461,0.7339,0.22,0.2081,2.0,0
finger millet cake (ragi cake),279.46,3.96,38.93,12.27,2.35,24.76,98.26,118.38,1.35,0.76,Dessert,processed,0.0718,0.7058,0.2224,0.3201,2.0,0
semolina cake (suji/rava cake),374.14,6.58,31.32,25.18,5.37,18.86,91.36,128.28,1.36,0.94,Dessert,processed,0.1043,0.4965,0.3992,0.2603,3.0,0
carrot cake (gajar ka cake),255.59,5.6,35.98,10.27,2.93,23.96,158.74,156.1,1.03,3.12,Dessert,processed,0.108,0.6939,0.1981,0.54,2.0,0
mango cheesecake,152.46,2.39,20.06,7.3,1.14,15.36,107.12,55.1,0.53,24.93,Non-Veg,processed,0.0803,0.6743,0.2454,0.323,1.0,1
wheat cake,314.63,4.79,41.13,14.95,2.76,25.79,82.96,98.91,1.08,0.76,Dessert,processed,0.0787,0.6757,0.2456,0.3183,2.0,0
banana chips (kele ke chips),665.67,0.37,7.32,70.46,0.65,4.37,86.87,2.01,0.19,4.03,Non-Veg,processed,0.0047,0.0937,0.9016,0.0052,3.0,1
jackfruit fritters (ponsa mulik/kathal ka pakora),597.79,2.34,24.0,54.41,1.5,11.48,46.39,24.62,1.15,0.32,Non-Veg,processed,0.029,0.2972,0.6738,0.0429,3.0,1
spicy corn chaat,479.8,4.61,11.45,46.55,2.17,0.95,86.5,17.28,0.84,14.1,Non-Veg,processed,0.0736,0.1829,0.7435,0.0988,3.0,1
semolina dhokla (suji/rava dhokla),194.91,5.44,30.86,5.2,5.12,1.85,443.39,31.17,2.52,3.66,Non-Veg,processed,0.1311,0.7436,0.1253,1.0264,1.0,1
rice murukku,593.99,5.41,33.29,48.22,2.18,0.17,63.31,24.63,1.7,0.0,Non-Veg,processed,0.0622,0.383,0.5548,0.112,3.0,1
veg manchurian,585.64,0.89,6.82,61.65,1.16,0.76,65.31,16.79,0.31,15.1,Non-Veg,processed,0.0128,0.0983,0.8888,0.0144,3.0,1
banana appam,469.81,1.17,20.06,42.53,0.67,9.95,20.14,13.74,0.77,4.03,Non-Veg,processed,0.0184,0.3146,0.667,0.0274,3.0,1
khakhra chaat,358.66,4.52,16.64,30.65,3.04,3.26,102.78,24.49,1.26,46.67,Dessert,processed,0.0872,0.3212,0.5916,0.147,3.0,0
quinoa khichdi/khichri,64.01,3.18,8.83,1.59,2.58,0.69,69.64,24.59,1.12,9.13,Veg,processed,0.2338,0.6493,0.1169,1.8817,0.0,3
buckwheat pancake (khura),263.3,2.91,27.28,16.43,0.56,0.64,69.97,11.32,0.69,0.66,Dessert,processed,0.0624,0.5852,0.3524,0.176,2.0,0
rice puttu (ari puttu),81.98,1.26,11.82,3.13,0.76,0.33,48.28,4.96,0.42,0.0,Veg,processed,0.0777,0.7292,0.1931,0.3901,0.0,3
methi thepla,346.16,8.98,41.34,15.95,7.56,2.98,543.27,73.51,4.52,1.06,Dessert,processed,0.1355,0.6238,0.2407,0.5595,2.0,0
moong bean dosa (pesarattu),285.96,12.32,31.91,11.67,6.04,2.9,61.36,36.44,3.38,1.48,Dessert,processed,0.2204,0.5708,0.2088,1.0467,2.0,0
vegetable namkeen jave,112.23,2.93,18.98,2.51,2.86,1.04,32.13,10.32,1.07,12.45,Veg,processed,0.12,0.7772,0.1028,1.1226,1.0,3
gram flour chilla/cheela (besan chilla/cheela),135.93,7.8,21.03,2.85,4.25,1.87,135.57,28.38,2.19,1.73,Veg,processed,0.2462,0.6638,0.09,2.6441,1.0,3
sago khitchdi/khichri (sabudana khitchdi/khichri),187.16,2.72,22.41,10.1,1.82,1.03,100.26,15.13,0.86,13.41,Non-Veg,processed,0.0772,0.6361,0.2867,0.2667,1.0,1
green chutney,79.42,5.42,10.01,1.6,5.84,0.92,262.81,112.74,4.58,7.35,Veg,processed,0.3183,0.5878,0.094,3.1882,0.0,3
pav bhaji masala,230.47,9.13,29.15,10.96,24.3,1.48,1814.66,588.91,12.84,0.06,Non-Veg,processed,0.1854,0.592,0.2226,0.8255,2.0,1
tamarind chutney (chintapandu pachadi/puli chutney),109.15,0.88,25.07,0.48,1.65,22.85,75.61,40.3,1.95,0.03,Veg,processed,0.0333,0.9485,0.0182,1.5172,1.0,3
chicken and cheese souffle,182.35,9.07,3.47,14.74,0.26,2.46,120.93,61.71,0.63,2.4,Non-Veg,processed,0.3325,0.1272,0.5403,0.6112,1.0,1
masala souffle,123.51,6.38,8.02,7.37,1.24,1.84,131.14,103.68,0.74,382.64,Veg,processed,0.2931,0.3684,0.3385,0.8541,1.0,3
spinach and paneer souffle,186.19,7.56,9.64,13.49,1.07,2.81,434.68,114.32,1.4,10.82,Non-Veg,processed,0.2463,0.3141,0.4396,0.5563,1.0,1
kale salad,177.71,4.86,5.01,15.33,1.36,3.31,292.04,109.11,1.3,30.49,Non-Veg,processed,0.1929,0.1988,0.6083,0.315,1.0,1
green chilli raita (hari mirch ka raita),77.13,5.58,7.66,2.92,0.26,7.49,161.31,193.58,0.21,4.3,Veg,processed,0.3453,0.474,0.1807,1.8477,0.0,3
onion raita (pyaaz ka raita),71.56,4.86,7.86,2.43,0.65,7.07,189.96,163.8,0.3,8.44,Veg,processed,0.3208,0.5188,0.1604,1.9209,0.0,3
pomegranate raita (anaar ka raita),72.64,4.05,7.15,3.24,0.6,7.01,195.18,138.31,0.25,4.6,Veg,processed,0.2805,0.4952,0.2244,1.2126,0.0,3
cabbage raita (pattagobhi raita),84.84,3.24,5.25,5.76,0.93,4.21,125.31,118.49,0.19,28.29,Veg,processed,0.2274,0.3684,0.4042,0.5529,0.0,3
macaroni salad,262.19,5.02,21.63,17.78,0.56,3.73,163.99,35.7,0.77,22.15,Dessert,processed,0.113,0.4868,0.4002,0.2808,2.0,0
chicken salad,338.19,15.33,1.3,30.26,2.0,0.96,50.62,43.19,1.23,4.92,Dessert,processed,0.3269,0.0277,0.6453,0.5049,2.0,0
dates chutney (khajoor ki chutney),103.57,1.07,21.69,1.12,3.41,18.68,76.77,28.72,1.19,3.41,Veg,processed,0.0448,0.9083,0.0469,0.877,1.0,3
onion chutney (pyaaz ki chutney/vengaya chutney),143.94,2.97,13.52,8.38,4.6,6.8,256.89,28.5,1.19,2.83,Veg,processed,0.1194,0.5436,0.337,0.3502,1.0,3
schezwan chutney,205.19,3.33,10.79,17.72,5.72,5.66,486.27,35.46,1.96,26.36,Non-Veg,processed,0.1046,0.3389,0.5565,0.1869,2.0,1
garlic chutney/poondu chutney (lahasun ki chutney),255.51,3.34,20.44,17.55,5.15,13.36,177.62,63.51,3.26,5.7,Dessert,processed,0.0808,0.4946,0.4246,0.1892,2.0,0
sauteed radishes with green beans,94.32,2.41,6.04,6.61,3.52,1.78,65.1,40.2,1.01,6.55,Veg,processed,0.16,0.4011,0.4389,0.3592,0.0,3
roasted cauliflower steak,78.68,2.05,2.02,6.7,3.53,0.44,120.19,24.47,0.95,47.14,Veg,processed,0.1903,0.1876,0.6221,0.3015,0.0,3
paneer lababdar,105.48,3.98,3.37,8.46,1.16,1.96,142.45,55.56,0.56,27.48,Veg,processed,0.2517,0.2132,0.5351,0.465,1.0,3
gobi 65,278.29,0.56,3.59,29.11,0.57,0.29,69.22,12.37,0.3,27.52,Dessert,processed,0.0168,0.1079,0.8752,0.0192,2.0,0
cabbage manchurian (pattagobhi manchurian),224.26,0.64,4.85,22.48,0.37,0.33,75.02,3.18,0.2,28.39,Non-Veg,processed,0.0229,0.1734,0.8037,0.0283,2.0,1
paaner do pyaza,127.7,4.22,3.41,10.87,0.84,2.2,160.66,57.22,0.45,16.81,Veg,processed,0.2281,0.1843,0.5876,0.3847,1.0,3
cajun chicken,184.94,12.69,1.94,13.99,0.89,1.1,1740.13,156.98,0.53,45.44,Non-Veg,processed,0.4434,0.0678,0.4888,0.9006,1.0,1
corn omelette/omlet,166.93,11.37,1.57,12.89,0.02,0.41,166.42,96.22,1.34,2.9,Non-Veg,processed,0.4402,0.0608,0.499,0.8753,1.0,1
spinach mushroom scrambled egg (palak mushroom bhurji),158.85,13.28,0.59,11.51,0.39,0.1,227.97,140.31,1.6,2.27,Non-Veg,processed,0.5232,0.0232,0.4535,1.1438,1.0,1
