food_name,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,vitamin_c,category,source,protein_ratio,carb_ratio,fat_ratio,protein_fat_ratio,calorie_class,category_encoded
lemon cake,373.85,5.29,43.1,20.63,0.62,25.84,151.29,32.77,0.91,2.44,Dessert,processed,0.0766,0.6245,0.2989,0.2552,3.0,0
bottle gourd kheer (ghiya/lauki kheer),84.07,2.7,10.0,3.86,0.55,9.63,19.62,94.18,0.23,6.2,Veg,processed,0.163,0.6039,0.2331,0.6818,0.0,3
gram flour burfi (besan burfi),421.79,11.19,46.59,22.41,3.41,28.44,13.02,160.71,1.47,0.0,Non-Veg,processed,0.1395,0.581,0.2795,0.4971,3.0,1
honey banana cream,125.49,2.78,13.64,6.68,0.7,10.51,15.65,43.52,0.23,16.68,Veg,processed,0.1203,0.5905,0.2892,0.41,1.0,3
jhatpat achar with carrot (jhatpat achaar gajar ke saath),91.21,1.98,6.32,6.55,5.08,3.04,2067.33,54.31,2.32,6.0,Veg,processed,0.1333,0.4256,0.4411,0.2977,0.0,3
pineapple squash (ananas ka squash),195.02,0.16,51.34,0.05,1.06,51.08,14.84,7.96,0.18,6.0,Non-Veg,processed,0.0031,0.9959,0.001,1.0667,1.0,1
sprouted moong raita,60.89,4.62,6.13,2.19,0.16,5.59,189.2,139.44,0.86,3.59,Veg,processed,0.357,0.4737,0.1692,2.0175,0.0,3
lemon butter fish,160.25,16.38,0.75,10.26,0.36,0.23,187.72,18.66,0.4,8.7,Non-Veg,processed,0.598,0.0274,0.3746,1.5811,1.0,1
mutton rogan josh,175.0,10.0,5.0,12.5,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.3636,0.1818,0.4545,0.7937,1.0,3
cold orange souffle,173.19,5.94,16.27,9.82,0.11,14.42,46.53,55.45,0.57,10.08,Non-Veg,processed,0.1855,0.508,0.3066,0.5988,1.0,1
bread and butter pudding,167.94,5.59,19.63,7.88,0.98,11.84,96.3,105.54,0.9,1.58,Non-Veg,processed,0.1689,0.5931,0.2381,0.7005,1.0,1
gooseberry marmalade (amla murabba),123.16,0.14,32.34,0.03,0.0,28.61,216.89,16.4,0.38,6.0,Veg,processed,0.0043,0.9948,0.0009,1.0769,1.0,3
rolled sandwich,293.07,6.45,34.69,15.29,2.07,2.7,321.57,117.68,1.23,0.91,Dessert,processed,0.1143,0.6147,0.271,0.4191,2.0,0
tossed green salad,49.88,1.33,3.82,3.24,1.33,1.9,65.09,33.71,1.27,58.24,Snacks,processed,0.1585,0.4553,0.3862,0.3982,0.0,2
lasagne with vegetables,49.23,1.71,5.9,2.16,0.66,1.37,40.78,32.89,0.57,179.9,Snacks,processed,0.175,0.6039,0.2211,0.7566,0.0,2
brinjal bhartha (baingan ka bhartha),65.12,1.38,4.4,4.48,3.27,1.82,132.15,17.85,0.48,24.05,Veg,processed,0.1345,0.4288,0.4366,0.3013,0.0,3
orange marmalade (santray ka murabba),104.17,0.66,25.94,0.13,1.97,25.09,2.31,17.59,0.63,6.0,Veg,processed,0.0247,0.9704,0.0049,2.8696,1.0,3
apple mousse,106.92,4.21,12.77,4.27,1.6,10.56,28.79,33.76,0.48,14.48,Veg,processed,0.1981,0.6009,0.2009,0.9634,1.0,3
lassi,75.0,2.0,10.0,3.0,1.44,3.0,116.38,40.11,0.9,6.0,Snacks,nutrition_dataset,0.1333,0.6667,0.2,0.6452,0.0,2
fish pakora/pakoda,577.03,5.97,4.55,59.52,0.96,0.22,112.24,12.65,0.63,0.14,Non-Veg,processed,0.0852,0.065,0.8498,0.1001,3.0,1
mexican rice,120.57,4.62,14.21,4.88,1.64,1.44,93.42,14.51,0.55,42.71,Veg,processed,0.1949,0.5993,0.2058,0.9277,1.0,3
potato pickle (aloo ka achaar),369.14,2.07,7.87,36.46,2.21,0.82,213.73,48.46,1.12,10.14,Dessert,processed,0.0446,0.1696,0.7858,0.0566,3.0,0
flavoured milkshake,66.78,2.06,8.65,2.83,0.0,8.61,16.34,75.05,0.11,3.62,Veg,processed,0.1521,0.6388,0.209,0.7031,0.0,3
cabbage rolls (curry) ((pattagobhi rolls)(curry)),124.63,5.76,7.03,8.17,2.35,3.81,123.98,29.82,0.95,26.91,Veg,processed,0.2748,0.3354,0.3898,0.6965,1.0,3
lemon tart,303.35,6.12,30.68,17.45,0.81,10.68,76.09,24.03,0.98,2.66,Dessert,processed,0.1128,0.5655,0.3217,0.3487,2.0,0
coconut chutney (nariyal ki chutney),265.92,3.59,8.29,25.0,6.73,3.79,428.28,15.7,1.25,4.13,Dessert,processed,0.0973,0.2248,0.6779,0.143,2.0,0
putharekulu,318.3,3.66,59.61,7.55,1.75,23.86,2.67,6.11,0.38,0.0,Dessert,processed,0.0517,0.8417,0.1066,0.4784,2.0,0
raspberry shortbread cookies,441.12,3.0,61.25,21.25,0.75,40.86,6.06,13.81,0.6,0.01,Non-Veg,processed,0.0351,0.7164,0.2485,0.1405,3.0,1
ginger biscuit (adarak ke biscuit),417.91,5.98,58.44,18.31,1.49,27.06,79.68,25.97,2.2,0.0,Non-Veg,processed,0.0723,0.7064,0.2213,0.3248,3.0,1
spanish rice,164.24,4.19,31.1,2.23,2.78,1.26,96.61,18.93,0.92,48.66,Non-Veg,processed,0.1117,0.8289,0.0594,1.7983,1.0,1
soya roti,283.96,9.18,40.03,9.23,8.71,1.58,155.93,53.42,3.85,4.04,Dessert,processed,0.1571,0.685,0.1579,0.9839,2.0,0
spinach mushroom (palak mushroom),47.63,1.94,2.95,2.96,2.27,1.0,70.97,49.75,1.69,60.21,Snacks,processed,0.2471,0.3758,0.3771,0.634,0.0,2
jalebi,320.0,4.0,60.0,12.0,1.0,45.0,200.0,45.0,15.0,3.0,Dessert,sheet1,0.0526,0.7895,0.1579,0.3306,2.0,0
coco pine cooler,32.75,0.56,5.72,1.0,0.26,5.52,23.2,17.81,0.13,10.67,Snacks,processed,0.0769,0.7857,0.1374,0.5091,0.0,2
khaman (dhokla),54.73,1.92,5.36,2.8,1.49,1.36,124.1,5.31,0.58,2.6,Veg,processed,0.1905,0.5317,0.2778,0.6621,0.0,3
pea kofta curry (matar kofta curry),595.66,2.01,4.17,63.39,1.7,0.88,83.07,13.84,0.56,74.66,Non-Veg,processed,0.0289,0.0599,0.9112,0.0317,3.0,1
mintade,40.32,0.03,10.59,0.02,0.03,10.47,26.69,2.1,0.05,8.5,Snacks,processed,0.0028,0.9953,0.0019,0.25,0.0,2
mustard sauce,158.58,3.98,8.29,12.17,0.13,4.22,22.16,109.03,0.44,6.0,Non-Veg,processed,0.1628,0.3392,0.498,0.3244,1.0,1
date pickle (khajoor ka achaar),182.29,1.68,34.66,4.21,5.2,30.47,138.86,41.49,1.96,3.46,Non-Veg,processed,0.0414,0.8547,0.1038,0.3898,1.0,1
hot chocolate souffle,226.09,6.7,26.21,11.1,0.12,22.88,54.11,60.19,1.08,0.9,Non-Veg,processed,0.1522,0.5955,0.2522,0.5982,2.0,1
strawberry and vanilla cake with butter icing,370.54,3.89,44.25,20.39,0.79,32.43,107.27,28.17,0.7,8.4,Dessert,processed,0.0568,0.6457,0.2975,0.1898,3.0,0
pea mushroom curry (matar mushroom),93.3,3.87,7.41,5.16,3.86,1.82,155.48,22.7,0.97,58.44,Veg,processed,0.2354,0.4507,0.3139,0.7357,0.0,3
waldroff salad,141.75,1.47,11.02,10.05,1.87,8.23,13.42,29.29,1.07,21.43,Veg,processed,0.0652,0.4889,0.4459,0.1448,1.0,3
vegetarian club sandwich,198.33,5.45,19.68,11.33,2.06,2.08,305.36,122.44,0.77,6.0,Non-Veg,processed,0.1495,0.5398,0.3108,0.4768,1.0,1
mulligatawny soup,54.42,11.26,8.24,13.28,2.6,1.26,11602.5,43.89,2.65,8.37,Veg,processed,0.3435,0.2514,0.4051,0.8416,0.0,3
gram flour halwa (besan halwa),276.79,5.88,25.78,17.3,1.82,15.83,15.4,77.42,0.67,1.66,Dessert,processed,0.1201,0.5266,0.3533,0.3379,2.0,0
onion raita (pyaaz ka raita),71.56,4.86,7.86,2.43,0.65,7.07,189.96,163.8,0.3,8.44,Veg,processed,0.3208,0.5188,0.1604,1.9209,0.0,3
kidney bean curry (rajmah curry),143.73,5.95,16.38,5.77,5.83,2.49,354.6,47.87,2.27,16.33,Veg,processed,0.2117,0.5829,0.2053,1.0136,1.0,3
kashmiri mutton koftas (gushtaba),97.42,6.33,3.04,6.77,0.62,2.13,130.11,52.53,0.85,3.22,Veg,processed,0.3922,0.1884,0.4195,0.9214,0.0,3
rasbhari,130.05,1.52,28.27,1.92,0.02,27.84,16.65,62.58,0.13,2.69,Veg,processed,0.0479,0.8915,0.0605,0.7525,1.0,3
masala chai,66.67,1.33,10.0,2.67,1.44,3.0,116.38,40.11,0.9,6.0,Snacks,nutrition_dataset,0.095,0.7143,0.1907,0.4801,0.0,2
white sauce (medium),151.27,3.36,7.98,11.76,0.14,4.32,22.59,103.53,0.22,6.0,Non-Veg,processed,0.1455,0.3455,0.5091,0.2833,1.0,1
"paneer, apple and pineapple salad",95.08,3.88,8.35,5.07,1.65,6.36,176.63,103.05,0.84,25.3,Veg,processed,0.2243,0.4827,0.2931,0.7505,0.0,3
masala vada,826.02,1.69,4.06,89.15,1.07,0.24,74.53,7.45,0.52,2.05,Non-Veg,processed,0.0178,0.0428,0.9394,0.0189,3.0,1
american frosting,257.57,1.05,67.48,0.01,0.0,67.46,19.33,7.05,0.14,6.0,Dessert,processed,0.0153,0.9845,0.0001,9.5455,2.0,0
jam tart,360.72,4.42,46.18,17.35,1.14,14.74,70.34,12.23,0.74,0.0,Dessert,processed,0.065,0.6796,0.2553,0.2533,3.0,0
small onion pickle,16.86,1.65,2.76,0.64,1.09,2.99,249.48,31.95,1.2,19.37,Snacks,processed,0.3267,0.5465,0.1267,2.2297,0.0,2
french omelette/omlet,211.04,10.03,0.41,18.86,0.38,0.1,381.85,46.35,1.58,0.48,Non-Veg,processed,0.3423,0.014,0.6437,0.529,2.0,1
dum aloo,682.33,0.7,3.33,74.01,0.68,0.71,183.85,16.49,0.36,29.39,Non-Veg,processed,0.009,0.0427,0.9484,0.0094,3.0,1
pumpkin kheer (kaddu ki kheer),86.35,2.76,10.44,3.86,0.63,10.12,20.99,95.61,0.24,8.06,Veg,processed,0.1618,0.612,0.2263,0.697,0.0,3
cold lemon souffle,169.87,5.89,15.62,9.78,0.0,13.88,46.35,55.03,0.53,8.65,Non-Veg,processed,0.1882,0.4992,0.3126,0.5962,1.0,1
pea potato curry (aloo matar),100.92,3.48,9.74,5.13,3.61,1.86,154.83,21.1,1.02,70.01,Veg,processed,0.1896,0.5308,0.2796,0.6654,1.0,3
orange eggless cake,355.62,7.16,52.65,13.82,0.56,37.87,226.28,205.84,0.52,3.47,Dessert,processed,0.0972,0.7151,0.1877,0.5144,3.0,0
curd with potatoes (dahi aloo),59.9,1.56,7.15,2.72,1.19,1.82,51.99,36.36,0.47,42.93,Veg,processed,0.1365,0.6255,0.238,0.5532,0.0,3
lotus stem curry (kamal kakdi curry),110.34,1.53,9.24,7.25,3.14,2.09,217.05,26.59,1.71,40.01,Veg,processed,0.0849,0.5128,0.4023,0.2082,1.0,3
butter icing,500.72,0.19,71.64,25.37,0.0,71.64,5.98,12.48,0.14,0.0,Non-Veg,processed,0.002,0.737,0.261,0.0075,3.0,1
christmas cake,372.95,5.49,48.29,16.88,1.49,27.45,64.84,40.98,1.32,8.51,Dessert,processed,0.0777,0.6834,0.2389,0.3233,3.0,0
vegetables stir fry,30.78,1.04,3.19,1.47,1.37,0.86,55.0,13.3,0.34,38.17,Snacks,processed,0.1825,0.5596,0.2579,0.6624,0.0,2
coconut finger,274.86,7.09,42.56,8.86,1.87,28.55,46.86,24.04,1.31,0.0,Dessert,processed,0.1212,0.7274,0.1514,0.7913,2.0,0
methi parantha/paratha,148.36,4.27,22.19,4.34,5.09,2.44,48.36,65.85,2.42,12.63,Veg,processed,0.1386,0.7205,0.1409,0.9617,1.0,3
french onion soup,55.61,11.41,4.28,14.39,1.01,1.5,11202.89,106.22,3.52,5.35,Veg,processed,0.3793,0.1423,0.4784,0.7874,0.0,3
brown sauce,109.18,11.92,5.38,23.67,1.69,0.13,14174.59,40.44,2.46,6.0,Veg,processed,0.2909,0.1313,0.5777,0.5015,1.0,3
rasmalai,135.55,1.61,29.17,2.11,0.07,28.71,16.46,62.31,0.15,2.69,Veg,processed,0.049,0.8869,0.0642,0.7285,1.0,3
tomato ketchup,33.07,0.91,6.48,0.3,1.9,4.68,177.97,15.33,0.36,6.0,Snacks,processed,0.1183,0.8427,0.039,2.275,0.0,2
french sandwich (toasted),186.75,6.82,14.82,11.51,1.37,1.82,274.68,100.73,1.24,6.66,Non-Veg,processed,0.2057,0.4471,0.3472,0.5874,1.0,1
hyderabadi biryani,340.0,27.0,36.0,19.0,2.0,5.0,880.0,58.0,22.0,9.0,Non-Veg,sheet1,0.3293,0.439,0.2317,1.4136,2.0,1
erissery,150.0,5.0,14.0,10.0,7.0,3.0,360.0,50.0,18.0,30.0,Veg,sheet1,0.1724,0.4828,0.3448,0.495,1.0,3
appam,180.0,4.0,32.0,6.0,3.0,4.0,280.0,20.0,6.0,1.0,Veg,sheet1,0.0952,0.7619,0.1429,0.6557,1.0,3
thalipeeth,260.0,12.0,30.0,14.0,8.0,3.0,420.0,45.0,10.0,5.0,Veg,sheet1,0.2143,0.5357,0.25,0.8511,2.0,3
lucknowi biryani,320.0,26.0,37.0,17.0,3.0,6.0,820.0,52.0,19.0,10.0,Non-Veg,sheet1,0.325,0.4625,0.2125,1.5205,2.0,1
fruit loaf,324.19,5.36,46.49,13.31,0.87,24.54,160.6,45.71,0.96,2.47,Dessert,processed,0.0823,0.7135,0.2043,0.3997,2.0,0
baked fish with cheese sauce,113.96,8.64,4.06,7.02,0.08,3.22,209.48,115.64,0.26,9.97,Veg,processed,0.4381,0.2059,0.356,1.2135,1.0,3
fermented bamboo shoot pickle (mesu pickle),59.83,1.58,1.73,5.59,2.24,0.29,161.31,16.62,0.69,19.87,Veg,processed,0.1775,0.1944,0.6281,0.2777,0.0,3
oatmeal porridge,72.85,2.6,8.77,3.22,0.39,5.2,16.14,76.83,0.28,5.03,Veg,processed,0.1782,0.6011,0.2207,0.7831,0.0,3
mutton curry,270.0,26.0,4.0,18.0,1.0,2.0,720.0,35.0,22.0,12.0,Non-Veg,sheet1,0.5417,0.0833,0.375,1.4365,2.0,1
short crust pastry,422.1,6.11,44.72,23.98,1.58,3.18,97.2,16.9,1.02,6.0,Non-Veg,processed,0.0817,0.5978,0.3205,0.2537,3.0,1
potato halwa (aloo ka halwa),151.66,1.53,29.18,3.48,1.64,17.42,4.23,14.15,0.63,28.98,Non-Veg,processed,0.0447,0.8535,0.1018,0.4274,1.0,1
soyabean namak paras,838.46,2.65,4.65,89.83,1.41,0.22,72.05,12.13,0.64,0.0,Non-Veg,processed,0.0273,0.0479,0.9248,0.0295,3.0,1
veg hakka noodles,125.0,3.0,20.0,4.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1111,0.7407,0.1481,0.7317,1.0,3
raspberry bavarian cream,150.1,3.34,17.82,7.88,2.19,15.3,24.59,26.4,0.31,21.41,Non-Veg,processed,0.115,0.6136,0.2713,0.4185,1.0,1
potato with curd,73.18,3.19,12.01,1.33,1.02,3.3,190.9,85.41,0.38,6.0,Veg,processed,0.193,0.7266,0.0805,2.2308,0.0,3
vegetable yakhni,406.06,1.18,1.94,43.8,0.61,1.44,38.05,43.67,0.24,5.43,Non-Veg,processed,0.0251,0.0413,0.9335,0.0269,3.0,1
spinach and potato (palak aloo),57.17,1.63,5.91,2.82,2.04,0.93,62.46,43.67,1.59,78.73,Veg,processed,0.1573,0.5705,0.2722,0.5582,0.0,3
coriander chutney (hare dhaniye ki chutney),42.86,1.38,8.16,0.37,2.47,5.5,186.64,39.8,1.63,4.24,Snacks,processed,0.1393,0.8234,0.0373,2.9362,0.0,2
rice moong dal cheela (chawal aur moong dal ka cheela),798.26,2.74,11.13,82.44,1.18,0.15,142.82,4.99,0.51,0.0,Non-Veg,processed,0.0284,0.1156,0.856,0.0332,3.0,1
green chutney,79.42,5.42,10.01,1.6,5.84,0.92,262.81,112.74,4.58,7.35,Veg,processed,0.3183,0.5878,0.094,3.1882,0.0,3
idli,137.54,4.64,28.18,0.33,2.31,0.28,100.83,8.0,0.68,0.0,Veg,processed,0.14,0.8501,0.01,10.7907,1.0,3
inji curry,80.0,1.0,10.0,4.0,2.0,8.0,420.0,25.0,4.0,8.0,Veg,sheet1,0.0667,0.6667,0.2667,0.2439,0.0,3
lemon coriander soup,108.06,2.27,10.32,6.26,6.77,2.2,219.17,102.57,3.47,8.6,Veg,processed,0.1204,0.5475,0.3321,0.3569,1.0,3
cream of carrot soup,59.77,8.27,5.69,12.35,1.98,1.77,8694.79,57.24,1.73,10.68,Veg,processed,0.3143,0.2163,0.4694,0.6643,0.0,3
sweet peach pickle (aadoo ka achaar),144.64,0.46,37.01,0.2,1.32,36.46,33.04,11.99,0.33,7.36,Veg,processed,0.0122,0.9825,0.0053,1.5333,1.0,3
maize porridge,89.57,2.14,15.64,1.89,1.68,7.69,5.59,17.02,1.11,3.03,Veg,processed,0.1088,0.7951,0.0961,1.0754,0.0,3
orange milkshake with ice cream (narangi milkshake ice cream ke saath),67.82,1.95,9.15,2.75,0.16,9.0,16.65,69.8,0.19,20.86,Veg,processed,0.1408,0.6606,0.1986,0.6842,0.0,3
matar paneer,240.0,15.0,14.0,18.0,5.0,6.0,580.0,165.0,16.0,20.0,Veg,sheet1,0.3191,0.2979,0.383,0.8287,2.0,3
semolina ladoo with khoya (suji/rava aur khoye ke ladoo ),428.71,6.71,52.86,21.86,4.68,33.28,14.4,106.42,1.73,0.03,Non-Veg,processed,0.0824,0.6491,0.2685,0.3056,3.0,1
puri,340.0,8.0,38.0,20.0,3.0,2.0,450.0,20.0,6.0,0.0,Veg,sheet1,0.1212,0.5758,0.303,0.398,2.0,3
urad special dehusked,69.43,3.14,8.86,2.17,2.5,1.32,109.56,16.4,0.83,17.4,Veg,processed,0.2216,0.6253,0.1531,1.3833,0.0,3
dalma,118.93,4.91,15.04,4.58,2.16,3.1,49.35,54.28,2.1,36.63,Veg,processed,0.2002,0.6131,0.1867,1.0491,1.0,3
fried fish (indian style) (tali hui machli),658.54,4.35,5.4,68.88,0.61,0.4,156.94,11.11,0.56,7.22,Non-Veg,processed,0.0553,0.0687,0.876,0.0631,3.0,1
bread upma,129.51,2.8,12.6,7.75,1.96,1.56,176.44,45.22,0.82,4.64,Veg,processed,0.121,0.5443,0.3348,0.3567,1.0,3
chocolate cake,335.61,6.01,45.14,15.18,0.64,27.58,241.93,41.13,1.08,0.15,Dessert,processed,0.0906,0.6805,0.2289,0.3933,2.0,0
poori,737.63,1.35,8.22,77.61,1.46,0.23,31.73,3.98,0.6,0.0,Non-Veg,processed,0.0155,0.0943,0.8902,0.0174,3.0,1
paneer makhana korma,775.82,3.24,4.63,82.76,0.21,1.84,77.01,72.89,0.55,0.64,Non-Veg,processed,0.0357,0.0511,0.9132,0.0391,3.0,1
steamed orange pudding,278.03,2.34,41.53,12.04,0.58,26.53,79.1,21.15,0.55,21.74,Dessert,processed,0.0419,0.7428,0.2153,0.1928,2.0,0
bathua bhujia,90.9,2.26,3.63,7.29,3.8,1.08,81.99,165.84,2.36,66.6,Veg,processed,0.1715,0.2754,0.5531,0.3058,0.0,3
cornflakes with milk,117.33,3.59,14.95,5.12,0.78,9.97,26.55,106.47,0.42,4.82,Veg,processed,0.1517,0.6319,0.2164,0.6877,1.0,3
paneer butter masala,150.0,6.0,7.5,11.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.2449,0.3061,0.449,0.5405,1.0,3
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25,2.79,7.1,3.6,2.72,1.05,149.47,14.33,0.99,15.2,Veg,processed,0.2068,0.5263,0.2669,0.7541,0.0,3
spicy corn chaat,479.8,4.61,11.45,46.55,2.17,0.95,86.5,17.28,0.84,14.1,Non-Veg,processed,0.0736,0.1829,0.7435,0.0988,3.0,1
milk cake,127.41,3.01,9.13,8.93,0.06,8.9,24.97,104.94,0.2,8.0,Veg,processed,0.1429,0.4333,0.4238,0.3333,1.0,3
hot chocolate,90.01,3.43,9.02,4.61,0.0,8.86,36.04,113.63,0.33,3.62,Veg,processed,0.2011,0.5287,0.2702,0.7282,0.0,3
kesari,200.0,3.0,30.0,8.0,1.44,3.0,116.38,40.11,0.9,6.0,Dessert,nutrition_dataset,0.0732,0.7317,0.1951,0.3704,1.0,0
masala souffle,123.51,6.38,8.02,7.37,1.24,1.84,131.14,103.68,0.74,382.64,Veg,processed,0.2931,0.3684,0.3385,0.8541,1.0,3
egg curry,170.0,14.0,4.0,12.0,1.0,1.0,520.0,65.0,18.0,8.0,Non-Veg,sheet1,0.4667,0.1333,0.4,1.157,1.0,1
beetroot poori (chukandar ki poori),527.66,1.91,12.29,52.18,1.4,0.54,46.48,5.38,0.6,0.29,Non-Veg,processed,0.0288,0.1851,0.7861,0.0365,3.0,1
checker board sandwich,348.37,7.37,25.94,24.65,2.22,2.9,358.25,188.02,1.11,0.05,Dessert,processed,0.1272,0.4476,0.4253,0.2978,2.0,0
chocolate eggless cake,312.01,6.66,43.45,13.19,0.32,34.2,196.61,185.38,0.95,2.67,Dessert,processed,0.1052,0.6864,0.2084,0.5011,2.0,0
methi poori,710.02,1.45,7.98,74.6,1.61,0.26,35.37,14.61,0.81,2.91,Non-Veg,processed,0.0173,0.095,0.8878,0.0194,3.0,1
paneer in butter sauce,145.61,6.99,9.7,8.81,1.5,7.49,151.45,170.59,0.85,18.02,Veg,processed,0.2741,0.3804,0.3455,0.7845,1.0,3
poshtik namak paras,613.39,6.49,19.52,56.58,4.55,0.87,44.01,60.74,2.03,0.38,Non-Veg,processed,0.0786,0.2363,0.6851,0.1145,3.0,1
gobi 65,278.29,0.56,3.59,29.11,0.57,0.29,69.22,12.37,0.3,27.52,Dessert,processed,0.0168,0.1079,0.8752,0.0192,2.0,0
mutton korma,115.64,7.09,2.53,8.54,0.78,1.64,56.94,79.07,1.09,5.54,Veg,processed,0.3904,0.1393,0.4703,0.8206,1.0,3
spinach and paneer souffle,186.19,7.56,9.64,13.49,1.07,2.81,434.68,114.32,1.4,10.82,Non-Veg,processed,0.2463,0.3141,0.4396,0.5563,1.0,1
vegetarian nargisi kofta curry,332.15,2.29,6.58,32.94,0.86,1.65,73.56,47.09,0.38,27.25,Dessert,processed,0.0548,0.1574,0.7878,0.0693,2.0,0
gunjia,667.34,2.98,5.68,70.28,1.13,2.05,77.9,48.16,0.5,0.51,Non-Veg,processed,0.0378,0.072,0.8903,0.0423,3.0,1
spinach raita (palak ka raita),52.75,3.95,5.06,1.86,1.39,3.97,126.57,142.96,1.61,32.9,Veg,processed,0.3634,0.4655,0.1711,2.0153,0.0,3
chocolate butter icing,469.59,3.21,61.72,24.77,0.0,59.82,4.99,31.87,1.85,0.0,Non-Veg,processed,0.0358,0.6881,0.2761,0.1291,3.0,1
mixed vegetable pulao,113.05,2.72,17.49,3.33,2.67,1.35,187.92,19.61,0.6,26.15,Veg,processed,0.1155,0.743,0.1415,0.793,1.0,3
shahi chicken masala,163.7,9.82,4.07,12.02,0.96,2.86,142.56,82.68,0.89,9.92,Non-Veg,processed,0.379,0.1571,0.4639,0.8102,1.0,1
kulfi,98.43,3.21,11.3,4.7,0.12,10.39,23.97,111.86,0.2,5.04,Veg,processed,0.1671,0.5882,0.2447,0.6688,0.0,3
chocolate sponge cake,239.86,9.13,39.54,5.51,0.52,25.0,61.47,33.99,1.81,0.0,Non-Veg,processed,0.1685,0.7298,0.1017,1.6275,2.0,1
chicken biryani,320.0,28.0,35.0,15.0,2.0,5.0,800.0,60.0,18.0,10.0,Non-Veg,sheet1,0.359,0.4487,0.1923,1.8543,2.0,1
stuffed baked potatoes,100.2,3.82,11.03,4.39,1.31,0.4,92.09,25.72,0.81,18.77,Veg,processed,0.1985,0.5733,0.2282,0.8508,1.0,3
poha with curd (poha aur dahi),173.32,6.01,26.72,4.65,1.09,5.46,325.07,140.9,1.61,6.0,Non-Veg,processed,0.1608,0.7148,0.1244,1.2653,1.0,1
cheese patties,324.01,7.38,22.23,22.67,1.24,3.93,295.22,126.41,0.82,3.37,Dessert,processed,0.1412,0.4252,0.4336,0.3241,2.0,0
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.71,8.2,29.1,12.8,2.33,4.1,571.96,199.73,1.04,3.64,Dessert,processed,0.1637,0.5808,0.2555,0.6357,2.0,0
tomato puree,20.62,0.75,3.68,0.25,1.56,2.32,244.99,8.91,0.22,6.0,Snacks,processed,0.1603,0.7863,0.0534,2.1429,0.0,2
khatta channa,202.57,6.3,21.14,10.56,5.26,4.75,513.32,40.77,1.94,20.89,Non-Veg,processed,0.1658,0.5563,0.2779,0.591,2.0,1
coleslaw,76.71,1.24,5.59,5.32,2.34,3.62,29.87,37.0,0.63,22.99,Veg,processed,0.1021,0.4601,0.4379,0.2288,0.0,3
"lemon rice (pulihora, elumichai sadam, chitranna)",176.3,4.26,21.62,7.88,2.52,0.78,187.11,12.7,0.77,10.2,Non-Veg,processed,0.1262,0.6404,0.2334,0.5338,1.0,1
